index,sentence,model_aspect,gpt_aspect,agreement
682,Devil May Cry 4 Special Edition reaffirms the series' status as the current king of the action genre.,performance,gameplay,no.
684,Everything about Another Crab’s Treasure just works. It feels like it was made with a general love for the genre but a desire to do something new.,story,innovation,partially
686,Rusty Lake's The Past Within Makes Co-op Puzzle Solving Spooky &amp; Fun,story,gameplay,no
688,Warhammer 40K: Boltgun is an absolute blast of a boomer shooter,gameplay,gameplay,yes
690,My Favorite Pain and Suffering Simulator,gameplay,"""gameplay""",yes
692,"This vivid, intricate metropolis is genuinely stunning...",graphics,graphics,yes
694,It’s like that perfect cup of tea. You’ll always want another one.,value,"""value""",yes
696,We Were Here Together provides a great assortment of co-op challenges that will test your ability to communicate vocally as well as to solve them together.,story,"""communication""",no
698,...we found ourselves savouring every combat encounter...,gameplay,gameplay,yes
700,"…the strange and beautiful world of Albion, with all its weird idiosyncrasies and wildly varied accents, is as absorbing and lovably, peculiarly British as it ever was.",story,story,yes
702,"I'm a Slapshot main now, b*tch",gameplay,gameplay,yes
704,Gloomhaven’s digital adaptation is a marvelous turn-based dungeon crawler.,gameplay,gameplay,yes
706,"With zombies, more is better. Dead Rising 3 delivers the undead and great tools to kill them with by the truckload.",gameplay,gameplay,yes
708,"The game is an instant classic. There’s not a mark to be said against it. It excels in every possible way, challenging the best of us while still remaining pick-up-and-play enough that literally anyone could start in on it, and subsequently get hopelessly addicted.",gameplay,"""gameplay""",yes
710,The best in the series by some distance,gameplay,value,partial
712,A must-play detective sim,gameplay,gameplay,yes
714,Easily the most polished and refined Dungeons game to date and Evily as good as the game that started the genre 20 years ago.,gameplay,gameplay,yes
716,Fear. Pure fear. The most primal of emotions is the overwhelming one while playing Layers of Fear.,gameplay,"""audio""",no
718,Propelling yourself from the first-person perspective is consistently breathtaking,graphics,gameplay,no
720,"This game is great - I'm having a wonderful time playing, and time has flown by.",gameplay,gameplay,yes
722,This game has stolen my life and I don't want it back. Very chill factory game that won't let me stop making my lines more efficient.,gameplay,gameplay,yes
724,A must-buy for every JRPG fan,value,"""value""",yes
726,Fans of Piranha Games should prepare themselves for more of what they love.,gameplay,"""gameplay""",yes
728,An excellent PvE extraction shooter that I am loving my time with.,gameplay,gameplay,yes
730,I love it to bits.,graphics,value,no
732,"Infection Free Zone may currently be a rather standard zombie apocalypse experience, but it is exciting and thrilling, and that's not mentioning the hours of fun exploring real world locations (and your home).",gameplay,gameplay,yes
734,《Fate seeker》：The bloom from Jin Yong‘s dream of Jianghu,story,"""story""",yes
736,"Strange Horticulture is quiet, meticulous, delightful, dark, and beguiling. An utterly lovely game.",gameplay,gameplay,no
738,Très bon,value,"""value""",yes
740,"a game that promotes hope, friendship and kindness",gameplay,"""community""",no
742,调制魔弹，爽轰四方，这是一杯过程远比过关更精彩的弹幕鸡尾酒，你几乎不可能用同样的套路通关两次。,story,gameplay,no
744,"Creepy, addictively infuriating and nothing short of brilliant. A cerebral puzzle game that makes you feel like you belong in Mensa",gameplay,"""gameplay""",yes
746,"Max Inferno’s debut is a warm, charming triumph",story,story,yes
748,An Emotionally Painted Masterpiece.,story,graphics,no
750,"Without question the biggest, best looking, and most refined Warriors title on the battlefield",graphics,graphics,yes
752,The Best Game of 2024 Is Even Better On PC,gameplay,performance,yes
754,Final Fantasy 7 Rebirth is a masterpiece,story,"""story""",yes
756,A Triumphant Return To A Beloved World,story,"""story""",yes.
758,Absolver is one of the top games of the year.,gameplay,gameplay,yes
760,Utterly Fantastic,story,"""fantastic"" typically refers to the overall quality or experience of the game, which would best align with the aspect of ""value.""",no
762,不羁于武侠游戏的条条框框，用它丰富的内容、精致的细节，与独特的探案主题，打造出了一种返璞归真的体验。,story,story,yes
764,豐富的互動要素和更有邏輯的關卡設計也讓探索這件事情變得更加有趣，意外優秀的演出和額外的小遊戲和經營要素也為作品添增了些許風味！,story,gameplay,no
766,A glowing (pun intended) entry into the sci-fi survival horror RPG genre.,gameplay,innovation,partial
768,...will keep you glued in suspense,story,story,yes
770,Instant classic,audio,value,no.
772,Old school real time strategy gameplay,gameplay,"""gameplay""",yes
774,A solid tried and true roguelike,gameplay,gameplay,yes
776,Everything I’ve hoped for.,story,value,no
778,"Of course, Impostor Factory isn’t just a murder mystery.",story,story,yes
780,...Nekopara will give you plenty to purr about.,story,gameplay,no
782,"This is an extremely well made Visual Novel, and I hope the exposure on Steam leads many more people to become fans of the genre.",graphics,story,no
784,"Outrageously pretty and newly refined, Frozenbyte’s series finally strikes gold",graphics,graphics,yes
786,truly incredible,story,value,no
788,Superflight is an absolute treat for the senses.,graphics,graphics,yes
790,"… a must play for anyone who grew up playing games or watching action movies in the 2000s, and for everyone else as well",gameplay,value,partially
792,BOILS WITH INTRIGUE,performance,story,no.
794,"GENUINETLY GUT-WRENCHING, HORRIFIC, AND REAL",graphics,story,no
796,Number 1 game of the year ... Eco is a revelation ... It made me realize that games are actually crucial for understanding our relationship to all kinds of natural and man-made systems. The thing that gives me chills is that I think it is only in games that we can play with economic systems. And I walked away from my experience in Eco feeling like I learned so much even though we had no instructor. No one was connecting the dots for us. We simply learned through play.,gameplay,innovation,no
798,exactly what a Metroidvania Soulslike sequel needs to be,gameplay,"""gameplay""",yes
800,the masterclass of a genre,story,"""innovation""",no.
802,Pure cathartic and exhilarating action with every squeeze of the trigger.,performance,gameplay,no
804,Fans of old school shooters will definitely find the challenge and excitement level are very high here.,gameplay,gameplay,yes
806,"Tails of Iron is one of the best Soulslikes ever made, surpassing even its inspirations",gameplay,gameplay,yes
808,There is nothing a bunny-girl can’t do.,gameplay,"""capabilities"" - progression",yes
810,A return to form,performance,gameplay,no
812,Think of this game as Fallout’s little indie brother.,gameplay,"""comparison""",no.
814,Interesting and unique in its design…,innovation,"""innovation""",yes
816,I now have February 2 circled on my calendar.,value,progression,no.
818,Orcs Must Die! 3 is the best entry in the series.,story,gameplay,no
820,"Fans of anime, MMOs, nature management, and even sociology will want to give Wakfu a try, if for no other reason than to see what happens when you let gamers run the world.",gameplay,community,no
822,I do strongly recommend Cosmoteer,gameplay,value,partial
824,For The King II is nothing short of an amazing title...A truly superb sequel,story,"""sequel"" is implicitly referring to the ""story"".",yes
826,...this is the ultimate version of Sins of a Solar Empire...,gameplay,"""gameplay""",yes
828,Hats off to Lince Works for a stunning presentation.,graphics,"""presentation"" in the sentence suggests a focus on the ""graphics"" aspect.",yes
830,Sniper Ghost Warrior: Contracts finds the fine line between action arcade and sniper simulation.,gameplay,"""gameplay""",yes
832,A layered and engaging space opera that triumphs both on and off the battlefield,gameplay,story,partially
834,Daemonhunters is the absolute business,gameplay,value,no
836,"When Transmissions ended, I cringed. I wanted more so, so badly.",story,story,yes
838,"Without a doubt, Synthetik is a game shooter fans owe it to themselves to play.",gameplay,gameplay,yes
840,One of the Best Comedies of the Year,story,"""story""",partially
842,"Little Misfortune is a game about lost innocence, trust and childhood. It's about morbid curiosity, and the charming adventures we all go on as kids.",story,"""story""",yes
844,"We reviewed both prior titles with 10/10 but surely no one is capable of creating three games with perfect scores, right?",gameplay,"""expectations""",no
846,Winner: 2011 Best Sidescroller,gameplay,gameplay,yes
848,"... shapez 2 has, in my mind at least, turned the holy trinity of factory games (Factorio, Satisfactory, Dyson Sphere Program) into a holy quartet. This is by far the most fun I've had reviewing a game ...",gameplay,gameplay,yes
850,Adrenaline fueled future,innovation,"""gameplay""",no
852,"Densely imagined and as complex as you fancy, this roguelike RPG is brilliant.",gameplay,"""complexity""",yes
854,The Lovecraftian overtones were strong enough to warp my mind into an excited frenzy,audio,story,no
856,The New Leader to Beat.,innovation,progression,no
858,Masterful and Smart Adventure.,story,"""gameplay""",no
860,Stronghold Kingdoms is probably one of my favourite MMORTS titles,gameplay,gameplay,yes
862,Deeply silly and all the better for it,story,gameplay,no
864,It’s an incredibly cool idea…,innovation,innovation,yes
866,The one largest influence on Balatro was Luck be a Landlord.,gameplay,story,no
868,Probably the best downloadable title on the market right now.,gameplay,value,partially
870,Chrono Trigger purists rejoice...,gameplay,community,no
872,"Diehard GameFAN: 2013 Game of the Year/Best PC Game/Best Digital-Downloadable Game/Best Tactical RPG, Softpedia: Best RPG 2013, Hardcoregamer: Nominated Best Strategy Game 2013, Gamezebo: Best Games of 2013, Gamasutra: Top Games of the 2013",gameplay,"""gameplay""",yes
874,It believes in the sinister low-ebb horror of the island to worm its way into your mind without having to crutch on a jumpscare every few minutes.,audio,"""audio""",no
876,"Tactically deep, and bursting with character",story,gameplay,no
878,Amazing... makes genius use of a time loop mechanic,gameplay,innovation,yes
880,Darksiders Genesis is a rare spinoff that equals and sometimes surpasses its mainline brethren.,story,gameplay,no.
882,"Monster Sanctuary's combat, party customization and upkeep, and monster-assisted platforming make it a joy to play",gameplay,gameplay,yes
884,I legitimately felt cool as hell while playing this game,gameplay,gameplay,yes
886,"amusing, memorable and downright fun",story,gameplay,no
888,"King of Crabs is Fortnite with crabs, and you pretty much have to play it.",gameplay,gameplay,yes
890,"Trombone Champ managed to elicit the kind of guttural, delightfully awful cackle from me that hasn't exited my body in years.",performance,audio,yes
892,"Hauntingly rapturous to play and replay, Cultist Simulator won't let you be the next Jim Jones, but it might just make you the next Torgo. With sassier hair, naturally.",gameplay,gameplay,yes
894,Inventive,innovation,"""innovation""",yes
896,The funniest game I've ever played,gameplay,gameplay,yes
898,"Do Not Feed The Monkeys is an excellent game that explores morality and empathy in a similar way to Papers, Please",gameplay,story,no
900,"Not only [does it] nail the universe, the ships, and the tactics, but it looks and sounds amazing while doing so.",gameplay,graphics,no
902,A light-hearted game of mass murder in 'Party Hard',gameplay,gameplay,yes
904,A fantastic return to SUPERHOT’s slick shootouts,performance,gameplay,no
906,Truly fantastic,story,value,no
908,“one of the sports games of the year,gameplay,gameplay,yes
910,The official license is in good hands.,value,"""license"" would best fit under the aspect of ""value"".",yes
912,Absolutely an instant cult classic.,story,value,no
914,"the game we never axed for, but seeded all along",gameplay,value,no
916,"I check it out, and quickly realise that this game, “Timberman",gameplay,gameplay,yes
918,"Rebuilt from the ground up in every way, Destroy All Humans! (2020) puts every other remaster on notice -- this is how it’s done.",performance,graphics,no
920,"Hilarious, quietly radical strategy game is the best since XCOM 2",gameplay,gameplay,yes
922,The BEST SWAT TEAM Simulator EVER!,gameplay,gameplay,yes
924,A harrowing look into a reality where Big Brother is always watching,story,story,yes
926,It'll make you feel like a kid again.,value,"""emotion""",no
928,UNBEATABLE’s [white label] demo is a masterpiece; it’s the kind of thing that leaves me in awe as to how human beings can be so creative and brilliant.,audio,innovation,no
930,The new gold standard in 4X space strategy,value,gameplay,no.
932,"Age of Darkness isn’t just good for an early access game, or for an Australian game. It’s just good, full stop",gameplay,value,partially
934,An incredible title that provides many hours of entertainment,graphics,gameplay,no
936,"Excavators, cranes, trucks, childhood dreams come true!",story,progression,partially
938,"This is Supergiant’s best work to date, and that’s saying something.",story,"""overall""",no
940,SHO-damn good,performance,gameplay,no
942,Imagine 80 Days by way of Dune and a Makoto Shinkai film,story,story,yes
944,"Now featuring new maps, modes, and playable thunderlizards we felt Dino D-Day is well worth a second look.",gameplay,value,partially
946,"Hand of Fate is an extraordinary example of the best that indie development, Kickstarter, and Steam Early Access have to offer.",innovation,innovation.,yes
948,More than a Sci-Fi Dark Souls,story,gameplay,no
950,"Nostalgic charm meets sensible modernization, perfect for newcomers and returnees.",innovation,story,no
952,"One thing’s for sure, any aircraft that does find its way into this sim is going to be rivet-perfect visually and bally persuasive in the flight modelling department",graphics,graphics,yes
954,"Ni No Kuni 2 is gorgeous, charming and constantly evolving…",story,graphics,no
956,A Non-Stop High Octane Thrill Ride,gameplay,gameplay,yes
958,"Stop, collaborate and listen: We Were Here Too demonstrates the power of two-player puzzling",gameplay,gameplay,yes
960,"Relaxed like Anno, hard like Banished.",performance,gameplay,no.
962,Catherine Classic is an unmissable puzzle game,gameplay,gameplay,yes
964,"Genuinely funny and heartfelt moments take place throughout, all working seamlessly together to create a commentary on the importance of friendships and the pain inherent in letting go.",story,"""story""",yes
966,"Ultimate General: Civil War is basically an overblown sequel to the first game, using its success (and everything developers Game-Labs learned) as a foundation to go and build something much bigger and, so far at least, much better.",gameplay,progression,no
968,This VN is really one of the best out there on Steam.,gameplay,"""gameplay""",no
970,"The world of Little Kitty, Big City truly feels like a playground above anything else",story,gameplay,no
972,Incredible,value,value,partially
974,A beautifully dark adventure,story,graphics,partially
976,The Best VR Zombie Shooter Yet,gameplay,gameplay,yes
978,"It draws you in, ratchets the tension, and ends with a bang.",story,"""story""",yes
980,SUPERHOT VR feels downright rapturous,gameplay,gameplay,yes
982,The Bunker is genuinely one of the scariest and most stressful videogames I've ever played.,gameplay,"""scariest"" - ""gameplay""",yes
984,"a very compelling and satisfying adventure... The realm of possibilities seems endless, and every time I set sail I find something new.",story,gameplay,partially
986,"I love it dude, I'm having so much fun man. I'm having so so much fun.",gameplay,gameplay,yes
988,"Cat Quest is a game about a cat going on an adventure, nothing more and nothing less, but I’ll tell you what: it’s a bloody good adventure.",gameplay,gameplay,yes
990,Viewfinder is puzzle game heaven,gameplay,gameplay,yes
992,"Life is Feudal: MMO has been significantly refined through development, targeted rebalancing, and the elimination of bugs while maintaining a strong bond with its community, with a special nod to the contributions of modders.",performance,community,no
994,Cassette Beasts is wonderfully carefree,story,gameplay.,no.
996,"Warhammer 40,000: Gladius - Relics of War is further proof that we shouldn't look at AAA studios to deliver a good 40K strategy experience.",gameplay,gameplay,yes
998,"Postal Brain Damaged is [the] bomb! Fun, fast, ferocious and punishing. A Postal spinoff that breathes new life into a franchise [...]",gameplay,gameplay,yes
1000,An excellent rogue-like,gameplay,gameplay,yes
1002,"As a study in the wordless pleasure of fixing stuff, though, it really sings",performance,"""gameplay""",no
1004,There's Already A New Starcraft RTS And It's Called Stormgate,gameplay,innovation,partial
1006,"Risen is a solid, engrossing and beautifully presented RPG that's well worth your time and money.",value,"""value""",yes
1008,There’s so much to love about Railway Empire,story,value,no
1010,Partisans 1941 Looks A Lot Like A Modern Commandos,gameplay,gameplay,yes
1012,Out of all the games that sprout up when talking about Animal Crossing... I've found that Spry Fox's relaxing Cozy Grove is the closest. It has everything you could want from a life-sim.,gameplay,"""gameplay""",yes
1014,Eternal has far and away the most generous card acquisition rate of any of these modern digital CCGs. It’s only right that a breakneck thrilling game is as open with its goodies as it is creative in its card design.,gameplay,progression,partially
1016,I can’t stop myself from playing to see how far Baroque Decay pushes the envelope.,gameplay,innovation,partially
1018,Among the best of the non-From Software titles,gameplay,gameplay,yes
1020,"It looks good as heck! Holy guacamole, Batman.",gameplay,graphics,no
1022,"I heartily recommend you get Rusty Lake Hotel for a mere £1.60, as well as Rusty Lake: Roots for two quid. And then splurge on the amazing free Cube Escapes, each of which adds to the Rusty Lake universe in a peculiar way. You’ll be so glad you did.",value,"""value""",yes
1024,The Next Big Dungeon Crawling Roguelike,gameplay,gameplay,yes
1026,"It's a great game, it is absolutely wonderful",gameplay,"""gameplay""",yes
1028,Une réussite,performance,"""value""",no
1030,"A Genuine, Heartfelt Tale of Love and Loss",story,"""story""",yes
1032,Serious Sam HD: The First Encounter is a great purchase for both fans of the series and newcomers.,value,"""value""",yes
1034,"For a first game, it is surprisingly complex, demanding and motivating.",gameplay,gameplay,yes
1036,superb,performance,value,no
1038,"You know condensed milk? Super Crate Box is like that, only with fun instead of milk.",gameplay,gameplay,yes
1040,A truly eerie horror game.,gameplay,"""eerie"" corresponds to the ""audio"" aspect.",no
1042,"It’s short, sweet, and has left me thinking about its choices for long past the single sitting it asked of me.",story,"""story""",yes
1044,A piece of adventure gaming history,gameplay,story,no.
1046,A hallmark of excellence.,innovation,value,partially
1048,"Like its predecessor, it remains a damn treat",value,value,yes
1050,Arrrowhead has beautifully restored Gauntlet to its former glory.,story,graphics,no
1052,Manifold Garden is a feast for the eyes and the mind...,graphics,graphics,yes
1054,A serene gravity flipping puzzler with impossible structures to wrap your head around.,gameplay,gameplay,yes
1056,"Operation: Tango is snappy, clever, well-designed, and incredibly engaging.",graphics,gameplay,no
1058,"Orcs Must Die! embellishes your devious side, encouraging you to devise clever ways of fulfilling the command of the title.",gameplay,gameplay,yes
1060,...prepare to be astonished,story,gameplay,no
1062,...impossibly good,value,value,yes
1064,"The roller coaster sim you've been waiting for [...] managing staff, guests, and park design has never felt better or more complete.",graphics,gameplay,no
1066,I have to believe Holmes would approve.,value,story,no
1068,Chained Echoes is simply the best RPG I’ve played in a very very long time.,gameplay,"""gameplay""",yes
1070,"I returned to Democracy 3 in an attempt to put right the wrongs of my previous administration. On my first visit, I broke Britain, crushing its culture and creating a country reminiscent of Clockwork Orange, filled with gangs and ultraviolence.",story,story,yes
1072,"If you fancy a modern Dungeon Keeper, War for the Overworld continues to be the best of the bunch.",gameplay,gameplay,yes
1074,"Brightrock Games haven't stopped supporting the game ... In fact, they rolled up their sleeves, listened to feedback, and polished those old dungeons to a shine.",gameplay,progression,no
1076,This is a masterpiece.,story,"""masterpiece"" typically refers to the overall quality or achievement of the product rather than a specific aspect. if we were to infer, ""masterpiece"" could be related to aspects such as ""gameplay"", ""graphics"", ""story"" or ""innovation"". but without more context, it's challenging to pinpoint a specific aspect.",partial
1078,Undoubtedly this is the best way to play Vanquish.,gameplay,gameplay,yes
1080,"A Moment Of Pure Movement Bliss, Courtesy Of Valley",audio,gameplay,no
1082,Like to keep trying to crash my PC,performance,performance,yes
1084,A badass monster mash,gameplay,gameplay,yes
